TIPO DE VICTIMA,ANIO OCURRENCIA,DANE OCURRENCIA,DEPARTAMENTO OCURRENCIA,MUNICIPIO OCURRENCIA,HECHO VICTIMIZANTE,DISCAPACIDAD,GENERO,CICLO VITAL,PERTENENCIA ETNICA,TOTAL
V’ctimas de conflicto armado,2015,52079,NARI„O,BARBACOAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2000,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,1991,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2001,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2002,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2004,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2010,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2010,68081,SANTANDER,BARRANCABERMEJA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2005,44078,LA GUAJIRA,BARRANCAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2002,13074,BOLIVAR,BARRANCO DE LOBA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,13074,BOLIVAR,BARRANCO DE LOBA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,13074,BOLIVAR,BARRANCO DE LOBA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2004,8001,ATLANTICO,BARRANQUILLA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,1984,18094,CAQUETA,BELEN DE LOS ANDAQUIES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2002,18094,CAQUETA,BELEN DE LOS ANDAQUIES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2005,18094,CAQUETA,BELEN DE LOS ANDAQUIES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2009,18094,CAQUETA,BELEN DE LOS ANDAQUIES,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Indigena,1
V’ctimas de conflicto armado,2009,18094,CAQUETA,BELEN DE LOS ANDAQUIES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2000,5088,ANTIOQUIA,BELLO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,5093,ANTIOQUIA,BETULIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2008,11001,"BOGOTA, D.C.","BOGOTA, D.C.",Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2012,11001,"BOGOTA, D.C.","BOGOTA, D.C.",Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2006,19100,CAUCA,BOLIVAR,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2005,20060,CESAR,BOSCONIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2004,5107,ANTIOQUIA,BRICE„O,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2006,68001,SANTANDER,BUCARAMANGA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2005,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2007,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2007,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2007,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2007,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2007,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2010,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2011,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2011,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),3
V’ctimas de conflicto armado,2012,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2012,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Negro(a) o Afrocolombiano(a),2
V’ctimas de conflicto armado,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Negro(a) o Afrocolombiano(a),2
V’ctimas de conflicto armado,2014,76109,VALLE DEL CAUCA,BUENAVENTURA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),7
